Model, Actual MPG,Cylinders,Horsepower,Weight,Year,Origin
amc ambassador dpl,15,8,190,3850,70,American
amc gremlin,21,6,90,2648,70,American
amc hornet,18,6,97,2774,70,American
amc rebel sst,16,8,150,3433,70,American
buick estate wagon (sw),14,8,225,3086,70,American
buick skylark 320,15,8,165,3693,70,American
chevrolet chevelle malibu,18,8,130,3504,70,American
chevrolet impala,14,8,220,4354,70,American
chevrolet monte carlo,15,8,150,3761,70,American
chevy c20,10,8,200,4376,70,American
dodge challenger se,15,8,170,3563,70,American
dodge d200,11,8,210,4382,70,American
ford f250,10,8,215,4615,70,American
ford galaxie 500,15,8,198,4341,70,American
ford maverick,21,6,85,2587,70,American
ford torino,17,8,140,3449,70,American
hi 1200d,9,8,193,4732,70,American
plymouth 'cuda 340,14,8,160,3609,70,American
plymouth duster,22,6,95,2833,70,American
plymouth fury iii,14,8,215,4312,70,American
plymouth satellite,18,8,150,3436,70,American
pontiac catalina,14,8,225,4425,70,American
audi 100 ls,24,4,90,2430,70,European
bmw 2002,26,4,113,2234,70,European
peugeot 504,25,4,87,2672,70,European
saab 99e,25,4,95,2375,70,European
volkswagen 1131 deluxe sedan,26,4,46,1835,70,European
datsun pl510,27,4,88,2130,70,Japanese
toyota corona mark ii,24,4,95,2372,70,Japanese
amc gremlin,19,6,100,2634,71,American
amc hornet sportabout (sw),18,6,110,2962,71,American
amc matador,18,6,100,3288,71,American
chevrolet chevelle malibu,17,6,100,3329,71,American
chevrolet impala,14,8,165,4209,71,American
chevrolet vega (sw),22,4,72,2408,71,American
chevrolet vega 2300,28,4,90,2264,71,American
dodge monaco (sw),12,8,180,4955,71,American
ford country squire (sw),13,8,170,4746,71,American
ford galaxie 500,14,8,153,4154,71,American
ford mustang,18,6,88,3139,71,American
ford torino 500,19,6,88,3302,71,American
mercury capri 2000,23,4,86,2220,71,American
plymouth cricket,26,4,70,1955,71,American
plymouth fury iii,14,8,150,4096,71,American
plymouth satellite custom,16,6,105,3439,71,American
pontiac catalina brougham,14,8,175,4464,71,American
pontiac firebird,19,6,100,3282,71,American
pontiac safari (sw),13,8,175,5140,71,American
fiat 124b,30,4,76,2065,71,European
opel 1900,28,4,90,2123,71,European
peugeot 304,30,4,70,2074,71,European
volkswagen model 111,27,4,60,1834,71,European
datsun 1200,35,4,69,1613,71,Japanese
datsun pl510,27,4,88,2130,71,Japanese
toyota corolla 1200,31,4,65,1773,71,Japanese
toyota corona,25,4,95,2228,71,Japanese
amc ambassador sst,17,8,150,3672,72,American
amc matador (sw),15,8,150,3892,72,American
buick lesabre custom,13,8,155,4502,72,American
chevrolet chevelle concours (sw),13,8,130,4098,72,American
chevrolet impala,13,8,165,4274,72,American
chevrolet vega,20,4,90,2408,72,American
chrysler newport royal,13,8,190,4422,72,American
dodge colt (sw),28,4,80,2164,72,American
dodge colt hardtop,25,4,80,2126,72,American
ford galaxie 500,14,8,153,4129,72,American
ford gran torino (sw),13,8,140,4294,72,American
ford pinto (sw),22,4,86,2395,72,American
ford pinto runabout,21,4,86,2226,72,American
mercury marquis,11,8,208,4633,72,American
oldsmobile delta 88 royale,12,8,160,4456,72,American
plymouth fury iii,15,8,150,4135,72,American
plymouth satellite custom (sw),14,8,150,4077,72,American
pontiac catalina,14,8,175,4385,72,American
peugeot 504 (sw),21,4,87,2979,72,European
renault 12 (sw),26,4,69,2189,72,European
volkswagen 411 (sw),22,4,76,2511,72,European
volkswagen type 3,23,4,54,2254,72,European
volvo 145e (sw),18,4,112,2933,72,European
datsun 510 (sw),28,4,92,2288,72,Japanese
mazda rx2 coupe,19,3,97,2330,72,Japanese
toyota corolla 1600 (sw),27,4,88,2100,72,Japanese
toyota corona hardtop,24,4,95,2278,72,Japanese
toyouta corona mark ii (sw),23,4,97,2506,72,Japanese
amc ambassador brougham,13,8,175,3821,73,American
amc gremlin,18,6,100,2789,73,American
amc hornet,18,6,100,2945,73,American
amc matador,14,8,150,3672,73,American
buick century 350,13,8,175,4100,73,American
buick electra 225 custom,12,8,225,4951,73,American
chevrolet caprice classic,13,8,150,4464,73,American
chevrolet impala,11,8,150,4997,73,American
chevrolet malibu,13,8,145,3988,73,American
chevrolet monte carlo s,15,8,145,4082,73,American
chevrolet nova custom,16,6,100,3278,73,American
chevrolet vega,21,4,72,2401,73,American
chrysler new yorker brougham,13,8,215,4735,73,American
dodge coronet custom,15,8,150,3777,73,American
dodge dart custom,15,8,150,3399,73,American
ford country,12,8,167,4906,73,American
ford gran torino,14,8,137,4042,73,American
ford ltd,13,8,158,4363,73,American
ford maverick,18,6,88,3021,73,American
ford pinto,19,4,85,2310,73,American
mercury capri v6,21,6,107,2472,73,American
mercury marquis brougham,12,8,198,4952,73,American
oldsmobile omega,11,8,180,3664,73,American
oldsmobile vista cruiser,12,8,180,4499,73,American
plymouth custom suburb,13,8,170,4654,73,American
plymouth duster,23,6,95,2904,73,American
plymouth fury gran sedan,14,8,150,4237,73,American
plymouth valiant,18,6,105,3121,73,American
pontiac grand prix,16,8,230,4278,73,American
audi 100ls,20,4,91,2582,73,European
fiat 124 sport coupe,26,4,90,2265,73,European
fiat 128,29,4,49,1867,73,European
opel manta,24,4,75,2158,73,European
saab 99le,24,4,110,2660,73,European
volkswagen super beetle,26,4,46,1950,73,European
volvo 144ea,19,4,112,2868,73,European
datsun 610,22,4,94,2379,73,Japanese
maxda rx3,18,3,90,2124,73,Japanese
toyota carina,20,4,88,2279,73,Japanese
toyota mark ii,20,6,122,2807,73,Japanese
amc hornet,19,6,100,2901,74,American
amc matador,16,6,110,3632,74,American
amc matador (sw),14,8,150,4257,74,American
buick century luxus (sw),13,8,150,4699,74,American
chevrolet chevelle malibu classic,16,6,100,3781,74,American
chevrolet nova,15,6,100,3336,74,American
chevrolet vega,25,4,75,2542,74,American
dodge colt,28,4,75,2125,74,American
dodge coronet custom (sw),14,8,150,4457,74,American
ford gran torino,16,8,140,4141,74,American
ford gran torino (sw),14,8,140,4638,74,American
ford pinto,26,4,80,2451,74,American
plymouth duster,20,6,95,3102,74,American
plymouth satellite sebring,18,6,105,3613,74,American
audi fox,29,4,83,2219,74,European
fiat 124 tc,26,4,75,2246,74,European
fiat 128,24,4,75,2108,74,European
fiat x1.9,31,4,67,2000,74,European
opel manta,26,4,78,2300,74,European
volkswagen dasher,26,4,67,1963,74,European
