release_date,release_date_int,release_date_text,year,month,day
,20190317,2019#17#03,2019,3,17
8/6/2004,20040806,2004#06#08,2004,8,6
10/10/2014,20141010,2014#10#10,2014,10,10
3/9/2012,20120309,2012#09#03,2012,3,9
2/5/2009,20090205,2009#05#02,2009,2,5
8/6/1987,19870806,1987#06#08,1987,8,6
8/30/2012,20120830,2012#30#08,2012,8,30
1/15/2004,20040115,2004#15#01,2004,1,15
2/16/1996,19960216,1996#16#02,1996,2,16
4/16/2003,20030416,2003#16#04,2003,4,16
11/21/1976,19761121,1976#21#11,1976,11,21
7/10/1987,19870710,1987#10#07,1987,7,10
9/15/1999,19990915,1999#15#09,1999,9,15
3/4/2005,20050304,2005#04#03,2005,3,4
6/20/2002,20020620,2002#20#06,2002,6,20
10/6/2010,20101006,2010#06#10,2010,10,6
8/4/2005,20050804,2005#04#08,2005,8,4
12/25/2013,20131225,2013#25#12,2013,12,25
2/2/2011,20110202,2011#02#02,2011,2,2
8/2/2005,20050802,2005#02#08,2005,8,2
4/3/1998,19980403,1998#03#04,1998,4,3
8/13/1982,19820813,1982#13#08,1982,8,13
7/28/2012,20120728,2012#28#07,2012,7,28
9/2/2011,20110902,2011#02#09,2011,9,2
9/9/2006,20060909,2006#09#09,2006,9,9
10/23/1992,19921023,1992#23#10,1992,10,23
9/8/1997,19970908,1997#08#09,1997,9,8
9/7/2013,20130907,2013#07#09,2013,9,7
8/8/1986,19860808,1986#08#08,1986,8,8
4/7/2002,20020407,2002#07#04,2002,4,7
11/2/2011,20111102,2011#02#11,2011,11,2
5/2/2005,20050502,2005#02#05,2005,5,2
10/21/2015,20151021,2015#21#10,2015,10,21
10/2/2014,20141002,2014#02#10,2014,10,2
8/8/2007,20070808,2007#08#08,2007,8,8
4/16/2012,20120416,2012#16#04,2012,4,16
1/28/2000,20000128,2000#28#01,2000,1,28
3/10/1995,19950310,1995#10#03,1995,3,10
9/13/2013,20130913,2013#13#09,2013,9,13
4/7/1965,19650407,1965#07#04,1965,4,7
4/26/2006,20060426,2006#26#04,2006,4,26
6/22/1967,19670622,1967#22#06,1967,6,22
3/3/2000,20000303,2000#03#03,2000,3,3
9/5/2014,20140905,2014#05#09,2014,9,5
2/4/2005,20050204,2005#04#02,2005,2,4
10/9/2009,20091009,2009#09#10,2009,10,9
3/23/2006,20060323,2006#23#03,2006,3,23
12/25/2015,20151225,2015#25#12,2015,12,25
3/24/2017,20170324,2017#24#03,2017,3,24
11/17/1994,19941117,1994#17#11,1994,11,17
1/30/2008,20080130,2008#30#01,2008,1,30
7/1/1965,19650701,1965#01#07,1965,7,1
6/24/1980,19800624,1980#24#06,1980,6,24
1/15/1988,19880115,1988#15#01,1988,1,15
2/19/2016,20160219,2016#19#02,2016,2,19
7/2/1993,19930702,1993#02#07,1993,7,2
8/5/2009,20090805,2009#05#08,2009,8,5
6/20/1997,19970620,1997#20#06,1997,6,20
6/24/2008,20080624,2008#24#06,2008,6,24
3/8/2002,20020308,2002#08#03,2002,3,8
11/14/2006,20061114,2006#14#11,2006,11,14
5/30/1956,19560530,1956#30#05,1956,5,30
1/16/1998,19980116,1998#16#01,1998,1,16
7/28/1989,19890728,1989#28#07,1989,7,28
9/21/2013,20130921,2013#21#09,2013,9,21
2/26/1988,19880226,1988#26#02,1988,2,26
1/14/2010,20100114,2010#14#01,2010,1,14
10/4/2013,20131004,2013#04#10,2013,10,4
12/25/1962,19621225,1962#25#12,1962,12,25
6/3/2006,20060603,2006#03#06,2006,6,3
3/4/2005,20050304,2005#04#03,2005,3,4
2/6/2004,20040206,2004#06#02,2004,2,6
4/5/1990,19900405,1990#05#04,1990,4,5
3/30/2004,20040330,2004#30#03,2004,3,30
3/31/1976,19760331,1976#31#03,1976,3,31
8/18/2011,20110818,2011#18#08,2011,8,18
5/5/2000,20000505,2000#05#05,2000,5,5
7/25/1980,19800725,1980#25#07,1980,7,25
12/18/1981,19811218,1981#18#12,1981,12,18
9/15/2016,20160915,2016#15#09,2016,9,15
12/14/2002,20021214,2002#14#12,2002,12,14
10/21/2005,20051021,2005#21#10,2005,10,21
7/29/2005,20050729,2005#29#07,2005,7,29
12/6/1984,19841206,1984#06#12,1984,12,6
1/21/2011,20110121,2011#21#01,2011,1,21
6/9/1995,19950609,1995#09#06,1995,6,9
12/18/1979,19791218,1979#18#12,1979,12,18
1/30/1995,19950130,1995#30#01,1995,1,30
3/31/2017,20170331,2017#31#03,2017,3,31
2/5/1993,19930205,1993#05#02,1993,2,5
10/10/2003,20031010,2003#10#10,2003,10,10
3/16/2001,20010316,2001#16#03,2001,3,16
9/20/1995,19950920,1995#20#09,1995,9,20
5/15/2008,20080515,2008#15#05,2008,5,15
5/16/2001,20010516,2001#16#05,2001,5,16
12/9/2012,20121209,2012#09#12,2012,12,9
11/14/2011,20111114,2011#14#11,2011,11,14
6/26/2011,20110626,2011#26#06,2011,6,26
8/31/2012,20120831,2012#31#08,2012,8,31
4/15/1988,19880415,1988#15#04,1988,4,15
1/26/1990,19900126,1990#26#01,1990,1,26
12/11/2001,20011211,2001#11#12,2001,12,11
8/18/2007,20070818,2007#18#08,2007,8,18
9/28/2012,20120928,2012#28#09,2012,9,28
2/20/2014,20140220,2014#20#02,2014,2,20
9/8/2013,20130908,2013#08#09,2013,9,8
1/21/2010,20100121,2010#21#01,2010,1,21
5/24/1995,19950524,1995#24#05,1995,5,24
4/15/1999,19990415,1999#15#04,1999,4,15
10/10/1966,19661010,1966#10#10,1966,10,10
10/12/2001,20011012,2001#12#10,2001,10,12
8/6/2004,20040806,2004#06#08,2004,8,6
11/20/2015,20151120,2015#20#11,2015,11,20
3/25/1988,19880325,1988#25#03,1988,3,25
12/18/2001,20011218,2001#18#12,2001,12,18
5/31/2002,20020531,2002#31#05,2002,5,31
11/1/2012,20121101,2012#01#11,2012,11,1
3/2/2007,20070302,2007#02#03,2007,3,2
6/18/1993,19930618,1993#18#06,1993,6,18
1/31/1997,19970131,1997#31#01,1997,1,31
8/3/2001,20010803,2001#03#08,2001,8,3
6/18/1999,19990618,1999#18#06,1999,6,18
2/9/1990,19900209,1990#09#02,1990,2,9
3/20/2000,20000320,2000#20#03,2000,3,20
7/17/2009,20090717,2009#17#07,2009,7,17
7/3/2008,20080703,2008#03#07,2008,7,3
6/2/1978,19780602,1978#02#06,1978,6,2
12/22/2000,20001222,2000#22#12,2000,12,22
10/14/2005,20051014,2005#14#10,2005,10,14
10/16/1996,19961016,1996#16#10,1996,10,16
7/24/2013,20130724,2013#24#07,2013,7,24
1/1/2011,20110101,2011#01#01,2011,1,1
9/2/2000,20000902,2000#02#09,2000,9,2
11/4/2010,20101104,2010#04#11,2010,11,4
9/6/2007,20070906,2007#06#09,2007,9,6
6/29/2006,20060629,2006#29#06,2006,6,29
5/25/2012,20120525,2012#25#05,2012,5,25
4/29/1994,19940429,1994#29#04,1994,4,29
2/5/2010,20100205,2010#05#02,2010,2,5
4/24/2003,20030424,2003#24#04,2003,4,24
7/18/1968,19680718,1968#18#07,1968,7,18
8/31/2003,20030831,2003#31#08,2003,8,31
1/22/2016,20160122,2016#22#01,2016,1,22
11/5/2008,20081105,2008#05#11,2008,11,5
10/26/1967,19671026,1967#26#10,1967,10,26
12/9/2016,20161209,2016#09#12,2016,12,9
3/17/1988,19880317,1988#17#03,1988,3,17
8/1/2013,20130801,2013#01#08,2013,8,1
4/3/1992,19920403,1992#03#04,1992,4,3
3/28/2012,20120328,2012#28#03,2012,3,28
12/12/1980,19801212,1980#12#12,1980,12,12
1/25/2016,20160125,2016#25#01,2016,1,25
1/1/1988,19880101,1988#01#01,1988,1,1
1/23/2015,20150123,2015#23#01,2015,1,23
1/4/1983,19830104,1983#04#01,1983,1,4
2/14/2002,20020214,2002#14#02,2002,2,14
3/5/2005,20050305,2005#05#03,2005,3,5
1/7/1994,19940107,1994#07#01,1994,1,7
10/6/2000,20001006,2000#06#10,2000,10,6
2/9/1995,19950209,1995#09#02,1995,2,9
2/7/2006,20060207,2006#07#02,2006,2,7
4/22/1988,19880422,1988#22#04,1988,4,22
9/11/2011,20110911,2011#11#09,2011,9,11
9/17/1998,19980917,1998#17#09,1998,9,17
4/5/2007,20070405,2007#05#04,2007,4,5
1/1/1989,19890101,1989#01#01,1989,1,1
6/6/1982,19820606,1982#06#06,1982,6,6
9/9/2005,20050909,2005#09#09,2005,9,9
5/21/1975,19750521,1975#21#05,1975,5,21
12/24/1981,19811224,1981#24#12,1981,12,24
3/28/1985,19850328,1985#28#03,1985,3,28
10/11/1987,19871011,1987#11#10,1987,10,11
2/23/1966,19660223,1966#23#02,1966,2,23
8/2/1991,19910802,1991#02#08,1991,8,2
10/14/2011,20111014,2011#14#10,2011,10,14
6/22/2001,20010622,2001#22#06,2001,6,22
1/14/2000,20000114,2000#14#01,2000,1,14
3/7/1997,19970307,1997#07#03,1997,3,7
10/22/1982,19821022,1982#22#10,1982,10,22
7/7/1989,19890707,1989#07#07,1989,7,7
9/9/2008,20080909,2008#09#09,2008,9,9
